[0, 9, 14, 20, 23, 27, 28]
[0, 9, 14, 21, 22, 26, 29]
[0, 10, 13, 19, 24, 27, 28]
[0, 10, 13, 21, 22, 25, 30]
[0, 11, 12, 19, 24, 26, 29]
[0, 11, 12, 20, 23, 25, 30]
[1, 6, 14, 17, 23, 27, 31]
[1, 6, 14, 18, 22, 26, 32]
[1, 7, 13, 16, 24, 27, 31]
[1, 7, 13, 18, 22, 25, 33]
[1, 8, 12, 16, 24, 26, 32]
[1, 8, 12, 17, 23, 25, 33]
[2, 5, 14, 17, 21, 29, 31]
[2, 5, 14, 18, 20, 28, 32]
[2, 7, 11, 15, 24, 29, 31]
[2, 7, 11, 18, 20, 25, 34]
[2, 8, 10, 15, 24, 28, 32]
[2, 8, 10, 17, 21, 25, 34]
[3, 5, 13, 16, 21, 30, 31]
[3, 5, 13, 18, 19, 28, 33]
[3, 6, 11, 15, 23, 30, 31]
[3, 6, 11, 18, 19, 26, 34]
[3, 8, 9, 15, 23, 28, 33]
[3, 8, 9, 16, 21, 26, 34]
[4, 5, 12, 16, 20, 30, 32]
[4, 5, 12, 17, 19, 29, 33]
[4, 6, 10, 15, 22, 30, 32]
[4, 6, 10, 17, 19, 27, 34]
[4, 7, 9, 15, 22, 29, 33]
[4, 7, 9, 16, 20, 27, 34]
